blind_pair_id,source_item_id,source_manifest,source_manifest_sha256,source_original_path,source_edited_path,image_a_variant,image_b_variant,source_original_sha256,source_edited_sha256,question,required_change
CV11-I-001893D8745D2FD5,preview_pilot_5a54d663d1e7,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_5a54d663d1e7.jpg,data/edits/main_real_200/pilot_5a54d663d1e7.jpg,edited,original,9f2bcf66d4bf7676e2249b83b88c76efbf57697596c10d9924986318758a49d6,2294707bd69ba947142cb3c4018c7345a61d053ffd4b3b52f672b636fb7180cf,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-01DC6339C01B4FE9,preview_pilot_21bf4349b8b8,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_21bf4349b8b8.jpg,data/edits/main_real_200/pilot_21bf4349b8b8.jpg,edited,original,e11da2e94e9d20d016840d05c7011794538fafa5b7001a37fe30d5da6e04ec33,556a1bccef4af937e7c0cc62fe9cec27b9e5bec310e1cab40fafd98d38124c8e,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-0497AFC646710B52,preview_pilot_babcadabcffa,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_babcadabcffa.jpg,data/edits/main_real_200/pilot_babcadabcffa.jpg,original,edited,fc85ca6b0d4f9ade956a210cde7e0d80454bcbc4f342fd66f9c48c43d20cf364,9c21d637cbe47b709a1a9cc3f84721cc95b2f70b2c1cf6fe45ce48ce018fd22b,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-06775601919A7D6B,preview_pilot_d24e8a304df6,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_d24e8a304df6.jpg,data/edits/main_real_200/pilot_d24e8a304df6.jpg,original,edited,256ca008598f38b4781b7b69403f215d6ac04467f0db5cf52c16a7b59dab7380,77bb4d81d32d395a59551feeb82e03982d8ed0bfb241e08df28a13f83ce14d2f,Is the car absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-068AA2864A1E9C46,preview_pilot_299953cec30c,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_299953cec30c.jpg,data/edits/main_real_200/pilot_299953cec30c.jpg,edited,original,117c79ef917b956100c7e251884dfa0ba8d589c928f8abd622f155155b96408c,c6baec35a4287feaec7ed52cdf6a91aebf73534b2446c62871ab3417e91ceac8,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-0733448D38034156,preview_pilot_21bcefc89fec,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_21bcefc89fec.jpg,data/edits/main_real_200/pilot_21bcefc89fec.jpg,original,edited,0d4a9a31d867120f4ae3ef4d5b48f38e5d8d9f68fec5bb4b9e69f6461ddd9fd0,6d43f7ace796550b5fd0ba4baaedadea289a1ba9c05f1f50c718ce5ec4e744d8,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-09850D44D9615318,preview_pilot_1754bf5e0dc4,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_1754bf5e0dc4.jpg,data/edits/main_real_200/pilot_1754bf5e0dc4.jpg,edited,original,91160fddd4d89de3b1c0dbc33972dfa47dfa0c5b6955b7947b789db587e285ab,a17f6b993794af492761fdb9326c8b1d0566da99ecaf3f9d73311dc967ee0a4b,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-0AC606DF4665A42E,preview_pilot_fe1acfafc429,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_fe1acfafc429.jpg,data/edits/main_real_200/pilot_fe1acfafc429.jpg,edited,original,290225653b87dd9ae3397b0598cb979bba4aeff1c98fe55ff8f20cd0fedad02b,5aa323fe33211bb5ffbb1e5ee2cc26b8934543d65422030e059f9681d3dc0256,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-0B196D855EDADBFB,preview_pilot_86a8762f4d70,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_86a8762f4d70.jpg,data/edits/main_real_200/pilot_86a8762f4d70.jpg,original,edited,ef75863868dad4759a0d22c47d03165a215f950de3be0726a7986dcb65c662c6,b062c49728e0650ce00892797e09c72e62dfe197caed5d80168803c744d3904f,Is the chair absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-0C2D8B978A6EC3DB,preview_pilot_721994b2f5e5,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_721994b2f5e5.jpg,data/edits/main_real_200/pilot_721994b2f5e5.jpg,edited,original,b6fd5686eb23ef84a64476b4c177eadd706e335f0757d9b59c38bd2294d9fa98,aca1d806cae6084311f8906d73c74bc23bc9a0075cbba13c1e88e20dc8c20cd3,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
