item_id,expected_answer_original,expected_answer_edited,prompt,answer_format,original_image_path,edited_image_path,original_image_sha256,edited_image_sha256,parser_or_provenance_defect_found,patch_bbox_intersects_target_bbox,patch_target_mask_overlap_pixels,patch_target_bbox_distance_px,stored_detectability_score,exclusion_status,subjective_visual_validity,qwen2_5_vl_7b_original_raw,qwen2_5_vl_7b_edited_raw,qwen2_5_vl_7b_original_parsed,qwen2_5_vl_7b_edited_parsed,qwen2_5_vl_7b_parse_ok,qwen2_5_vl_7b_flip,internvl_8b_original_raw,internvl_8b_edited_raw,internvl_8b_original_parsed,internvl_8b_edited_parsed,internvl_8b_parse_ok,internvl_8b_flip,llava_onevision_7b_original_raw,llava_onevision_7b_edited_raw,llava_onevision_7b_original_parsed,llava_onevision_7b_edited_parsed,llava_onevision_7b_parse_ok,llava_onevision_7b_flip
sflip_car_ADE_train_00002029,yes,yes,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_car_ADE_train_00002029.jpg,__CTRL__/sflip_car_ADE_train_00002029.jpg,d65bd113d5d28d28186ee64403500620a0f719a54ec4177f7566e58b9246ee30,4ccd495640749a85f581e4fb32f723f971253c48da424241c7e9868761d47044,False,True,0,0.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_car_ADE_train_00002034,yes,yes,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_car_ADE_train_00002034.jpg,__CTRL__/sflip_car_ADE_train_00002034.jpg,110def06d712b9a99cb86b521e121e3ac77a479f37f02337ce4e2300b7a6383b,cda39df971d603a93ecc41bf61c1112056f0771e4505816f758f983b1dc18667,False,False,0,79.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_car_ADE_train_00003061,yes,yes,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_car_ADE_train_00003061.jpg,__CTRL__/sflip_car_ADE_train_00003061.jpg,7f12b30ec2b0c02fdf35d2eb059d0518c98c21e9dc103a029df6a698b25d47d0,aaea2fb81a0f9486e738073b85ef5d7b05f4eaae258f7c4193f83dea27f5e4e1,False,False,0,160.0,0.13391,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_chair_ADE_train_00000194,yes,yes,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_chair_ADE_train_00000194.jpg,__CTRL__/sflip_chair_ADE_train_00000194.jpg,10db4eb463e06753e7c2187a47e80d2f0f5d0bbfaa29821e04fa8e249122230a,ec3988c73338cd1c12d6651c29e943d9f7fdc0ebf782e32c0329aef1d3952c51,False,False,0,79.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_chair_ADE_train_00000268,yes,yes,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_chair_ADE_train_00000268.jpg,__CTRL__/sflip_chair_ADE_train_00000268.jpg,ce44f1212e30ca5953d70c8e5280578a20d4997020f63264225153acb131afce,54b2dff610a1885727eb2173bfa03155c5b1e274251ccc41bfe1b93b8d016655,False,False,0,27.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_chair_ADE_train_00000436,yes,yes,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_chair_ADE_train_00000436.jpg,__CTRL__/sflip_chair_ADE_train_00000436.jpg,00b8314cfc48be7835ccf9bccdcd8a3a442965ca45a1e670bd18d8066932d2f1,839bae26a742ba3a2e55f37cefdbf8c82f912e9d76de53c20f4a277a5bae7c38,False,False,0,57.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_chair_ADE_train_00000617,yes,yes,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_chair_ADE_train_00000617.jpg,__CTRL__/sflip_chair_ADE_train_00000617.jpg,4bcdbde94e3cc5fa30ca697f4dd07d0aec1223216bf87cff6a8f85e504f4c713,8e003d3ed13f4cc53a6baf2e8295294d4f7a75b9d88c1ff359726f4cb070d020,False,True,0,0.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_chair_ADE_train_00000630,yes,yes,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_chair_ADE_train_00000630.jpg,__CTRL__/sflip_chair_ADE_train_00000630.jpg,ab8935933aaad7a7176943a52116b458d6d068734affb48e096fd44a27ce70d7,c13f6de77af8982225107202964698abb0ce3b9d6a68299328731c265ad18f8c,False,False,0,274.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_chair_ADE_train_00001105,yes,yes,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_chair_ADE_train_00001105.jpg,__CTRL__/sflip_chair_ADE_train_00001105.jpg,d5cd55bd7e431571768ebfa6c6c9bd18846364b608183b461e76b77e26fa69e3,a7906023c70f822412e11b6b4ec19ff22cce33b500671bbf4b45ecbf565b13c7,False,False,0,255.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_sofa_ADE_train_00000704,yes,yes,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_sofa_ADE_train_00000704.jpg,__CTRL__/sflip_sofa_ADE_train_00000704.jpg,be4b15375726b3b4c750b3b148ec497c17f873f85f4a66a823501c75cdf7061e,4c23af6cf471db179f6cafadfc204905ff02f2b93dc1fd51d16fbde7a1c79ae7,False,False,0,65.0,0.12648,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_sofa_ADE_train_00000719,yes,yes,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_sofa_ADE_train_00000719.jpg,__CTRL__/sflip_sofa_ADE_train_00000719.jpg,d93407b4856aa725c10266655729252b954edbdac907656836213170b7d21bad,b5f493abea234392a0ab038077e0991d685105513fcdd0cf348aeff7260033e0,False,False,0,49.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
sflip_table_ADE_train_00000377,yes,yes,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,yes_no,__CTRL__/orig/sflip_table_ADE_train_00000377.jpg,__CTRL__/sflip_table_ADE_train_00000377.jpg,be7600214692cd7d429fd220ccf967297d8308eb5329b3745c157a8ea956deb1,a2b06d15ca461c7d1b5a60252bae782632fd9318cd33d3adc942dc56b9851a80,False,False,0,4.0,,not_excluded_raw_v1_preserved,HUMAN_REVIEW_PENDING,yes,no,yes,no,True,True,yes,yes,yes,yes,True,False,yes,yes,yes,yes,True,False
