run_id,category,status,blocker,producer_stage,next_action
first_gpu_wave_return_validation,import,BLOCKED_BY_GPU_OUTPUT,"missing inputs: data/runtime/00A_environment_bundle.zip, data/runtime/00B_qwen2_5_vl_7b_snapshot_bundle.zip, data/runtime/00B_internvl_8b_snapshot_bundle.zip, data/runtime/00B_llava_onevision_7b_snapshot_bundle.zip",Kaggle 00A and three isolated 00B runs,place all four unchanged return ZIPs in data/runtime and run python3 scripts/run_all_cpu_workflows.py --resume
real_smoke_preparation,data_preparation,BLOCKED_BY_EXTERNAL_BYTES,missing inputs: local_inputs/smoke/real_smoke_tasks.jsonl,genuine licensed smoke-item provisioning,python3 -m certvic.cvpr.smoke_input_builder --task-manifest <TASKS_JSONL>
pre_smoke_permissions,authorization,BLOCKED_BY_UPSTREAM_GATE,"unmet prerequisites: first_gpu_wave_return_validation, real_smoke_preparation",validated 00A/00B returns and real two-item smoke bundle,python3 -m certvic.cvpr.pre_smoke_packager --config <INPUTS_JSON>
confirmatory_source_preparation,data_preparation,BLOCKED_BY_EXTERNAL_BYTES,missing inputs: local_inputs/confirmatory/source_manifest.jsonl,licensed unseen confirmatory source provisioning,python3 -m certvic.cvpr.confirmatory_input_builder --config <INPUT_CONFIG_JSON>
generated_edit_cpu_qa,qa,BLOCKED_BY_GPU_OUTPUT,unmet prerequisites: confirmatory_source_preparation,01 specificity confirmatory generation Kaggle run,"download and validate confirmatory_generation_return.zip, then resume"
review_packet_preparation,review_operations,BLOCKED_BY_UPSTREAM_GATE,unmet prerequisites: generated_edit_cpu_qa,confirmatory CPU QA,generate blinded review packet and hand to genuine reviewers
exact_selection,selection_detectability,BLOCKED_BY_GENUINE_HUMAN_REVIEW,unmet prerequisites: review_packet_preparation,two independent reviewers plus adjudication,"validate genuine finalized inclusion inputs, then resume"
detectability_gate,selection_detectability,BLOCKED_BY_UPSTREAM_GATE,unmet prerequisites: exact_selection,exact selection,run grouped detectability only on the genuine selected set
freeze_and_permissions,authorization,BLOCKED_BY_UPSTREAM_GATE,unmet prerequisites: detectability_gate,"00A, all 00B, smoke, review, selection, and detectability gates",resume only after every real gate exists and validates
process_kaggle_returns,import,BLOCKED_BY_GPU_OUTPUT,unmet prerequisites: freeze_and_permissions,confirmatory provider Kaggle matrix,place unchanged return ZIPs in canonical local_inputs/provider_returns path and resume
statistical_analysis,analysis,BLOCKED_BY_UPSTREAM_GATE,unmet prerequisites: process_kaggle_returns,canonical transactional import,run canonical after-runs analysis after import validation
main_cpu_preparation,main_preparation,BLOCKED_BY_UPSTREAM_GATE,unmet prerequisites: statistical_analysis,confirmatory go/no-go,continue only if canonical confirmatory decision authorizes Main
coco_cpu_preparation,coco_preparation,BLOCKED_BY_EXTERNAL_BYTES,missing inputs: local_inputs/coco/instances_val2017.json,licensed COCO provisioning and explicit authorization,"provision licensed COCO validation assets and source manifest, then resume"
