blind_order,blind_pair_id,image_a,image_b,question,prompt_unambiguous,image_answerable,target_visible_a,target_visible_b,target_unaffected,expected_answer_relation_valid,expected_answer_unchanged,perturbation_acceptable,artifact_severity,retention_decision,confidence,notes,reviewer_code,reviewed_at_utc
1,CV11-S-F36B7F852295235C,images/CV11-S-F36B7F852295235C_A.jpg,images/CV11-S-F36B7F852295235C_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
2,CV11-S-CA6C31B8557C9DE7,images/CV11-S-CA6C31B8557C9DE7_A.jpg,images/CV11-S-CA6C31B8557C9DE7_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
3,CV11-S-A9FA1E6379F4BE4F,images/CV11-S-A9FA1E6379F4BE4F_A.jpg,images/CV11-S-A9FA1E6379F4BE4F_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
4,CV11-S-9ED384D28EAFC4D5,images/CV11-S-9ED384D28EAFC4D5_A.jpg,images/CV11-S-9ED384D28EAFC4D5_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
5,CV11-S-198DE860A7B5C606,images/CV11-S-198DE860A7B5C606_A.jpg,images/CV11-S-198DE860A7B5C606_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
6,CV11-S-C6C345EEFC30E9E5,images/CV11-S-C6C345EEFC30E9E5_A.jpg,images/CV11-S-C6C345EEFC30E9E5_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
7,CV11-S-DEAD358B3E7EC6F0,images/CV11-S-DEAD358B3E7EC6F0_A.jpg,images/CV11-S-DEAD358B3E7EC6F0_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
8,CV11-S-4740FC5484571844,images/CV11-S-4740FC5484571844_A.jpg,images/CV11-S-4740FC5484571844_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
9,CV11-S-45010BA274847826,images/CV11-S-45010BA274847826_A.jpg,images/CV11-S-45010BA274847826_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
10,CV11-S-632785CB10A3B388,images/CV11-S-632785CB10A3B388_A.jpg,images/CV11-S-632785CB10A3B388_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
11,CV11-S-4C423AADF2A2BABE,images/CV11-S-4C423AADF2A2BABE_A.jpg,images/CV11-S-4C423AADF2A2BABE_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
12,CV11-S-37EBE74658B4D39E,images/CV11-S-37EBE74658B4D39E_A.jpg,images/CV11-S-37EBE74658B4D39E_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
13,CV11-S-E5059F74973038B0,images/CV11-S-E5059F74973038B0_A.jpg,images/CV11-S-E5059F74973038B0_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
14,CV11-S-337F8880567768F3,images/CV11-S-337F8880567768F3_A.jpg,images/CV11-S-337F8880567768F3_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
