notebook,cpu_gpu_class,accelerator,dual_gpu_behavior,task_count,batch_size,wall_time_range,individual_gpu_hours,peak_vram,output_size,checkpoints,kaggle_risk,single_t4_time,evidence_basis,confidence,cpu_hours,human_review_person_hours
00A_certvic_code_and_environment_smoke.ipynb,CPU,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,inspection or CPU,0,4 initial; prospective OOM ladder to 1,10-20 min,0.2-0.4 h,N/A,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,low,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
00B_certvic_model_snapshot_smoke.ipynb,CPU integrity,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,inspection or CPU,0,4 initial; prospective OOM ladder to 1,15-30 min/provider,0 GPU-h,2-8 GB RAM,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,medium,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
00C1_certvic_mock_adapter_smoke.ipynb,CPU,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,inspection or CPU,2,4 initial; prospective OOM ladder to 1,2-5 min,0.05 h,N/A,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,low,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
00C2_certvic_real_model_two_item_smoke.ipynb,single logical T4 shard,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,inspection or CPU,2,4 initial; prospective OOM ladder to 1,15-45 min/provider,0.25-0.75 h/provider,12-15 GB,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,medium,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
01_specificity_confirmatory_generation_T4x2.ipynb,T4x2,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,independent concurrent hash shards,240,4 initial; prospective OOM ladder to 1,2-5 h,4-10 T4-h,8-14 GB/GPU,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,medium,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
02_qwen_specificity_confirmatory_T4x2.ipynb,T4x2,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,independent concurrent hash shards,240,4 initial; prospective OOM ladder to 1,2-5 h,4-10 T4-h,12-15 GB/GPU,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,medium,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
03_internvl_specificity_confirmatory_T4x2.ipynb,T4x2,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,independent concurrent hash shards,240,4 initial; prospective OOM ladder to 1,3-7 h,6-14 T4-h,14-16 GB/GPU,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,high,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
04_llava_specificity_confirmatory_T4x2.ipynb,T4x2,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,independent concurrent hash shards,240,4 initial; prospective OOM ladder to 1,2-5 h,4-10 T4-h,12-15 GB/GPU,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,medium,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
10_main_study_generation_T4x2.ipynb,T4x2,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,independent concurrent hash shards,500,4 initial; prospective OOM ladder to 1,4-10 h (8-18 h reserve),8-20 T4-h,10-15 GB/GPU,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,low,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
11_qwen_main_study_T4x2.ipynb,T4x2,OFF for 00A/00B; NVIDIA T4 x2 with declared single-T4 fallback for GPU stages,independent concurrent hash shards,500,4 initial; prospective OOM ladder to 1,5-10 h,10-20 T4-h,12-15 GB/GPU,10 MB-30 GB depending on generated pixels,per-shard resume ledger and validated atomic ZIP,"session limit, disk, OOM, dataset mount",approximately 1.8-2.2x dual-T4 wall time,planning range only; recalibrate from 00C2 runtime manifests,low,0.1-1.0 packaging/import per run,external; estimate after generated-item count and rater calibration
